Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
279823,48257466,88,118.58968,2.9262695,1.1862793,-1,41.16693,0.57751465,128.90518
279823,47831915,88,42.47921,2.1186523,0.8466797,-1,33.179348,-1.0227051,75.084816
279823,47967699,88,38.75921,1.0524902,0.66430664,1,18.52075,-2.5356445,52.255356
279823,48118584,88,31.851017,0.99890137,-2.1044922,1,44.22397,2.477539,50.575672
279823,48914482,88,30.819656,-0.4543457,0.9005127,1,49.041656,1.628418,67.110275
279823,48566662,88,31.121525,2.5893555,-1.0776367,-1,30.93313,-0.5650635,62.053093
279823,47741845,88,45.059586,-2.3759766,-0.87109375,1,62.343384,0.8684082,105.863174
279823,49264616,88,39.688904,2.100586,1.2163086,1,48.523293,-0.5880127,85.52701
279823,48538027,88,34.8401,-2.3613281,0.7955322,1,29.96893,1.4987793,60.49988
279823,48393053,88,34.7665,-2.3666992,1.9223633,1,63.91958,0.1907959,90.289444
279823,49135914,88,55.11563,1.5332031,-1.5825195,1,28.238531,-0.61608887,69.3882
279823,48637954,88,65.65719,-1.3232422,2.0581055,-1,24.690226,2.928711,68.431046
279823,48290783,88,117.78216,-0.15734863,1.2114258,1,44.89431,2.0078125,128.44295
279823,49338498,88,70.85554,-0.421875,2.2338867,-1,36.015133,2.4960938,100.401215
279823,48322642,88,34.739796,-0.7104492,0.9838867,1,67.58054,1.3920898,84.1204
279823,49405460,88,43.915115,0.4973755,-1.4187012,1,62.813477,-3.0009766,103.37535
279823,49086302,88,38.831505,-0.3067627,-2.1835938,1,37.628323,2.5014648,75.39081
279823,48247068,88,33.505276,-0.82592773,2.1235352,-1,18.116806,1.1450195,41.072456
279823,48432541,88,43.391483,2.7919922,-2.0512695,-1,50.467106,1.1135254,69.64436
279823,49056706,88,32.55871,-1.5512695,-1.2365723,-1,57.12524,1.6557617,86.20751
279823,48031282,88,67.84663,1.3422852,-1.1477051,-1,67.80829,-0.1906128,94.08774
279823,49292787,88,45.130466,-0.6751709,-2.1831055,-1,38.158993,3.1279297,78.49855
279823,48366929,88,39.162018,-0.6405029,-0.54455566,1,69.11913,2.2998047,103.52815
279823,48871204,88,161.55087,0.9477539,-2.1103516,1,40.671024,2.7294922,126.06479
279823,49102731,88,43.84502,-1.7619629,0.8717041,1,67.925575,0.9406738,106.52747
279823,47946429,88,48.474613,-1.5717773,2.2202148,1,41.126526,0.37823486,73.91353
279823,48631360,88,41.622265,0.08753967,-2.2583008,-1,37.205074,1.3786621,47.3517
279823,48607409,88,33.967377,-2.4887695,1.9042969,-1,37.990807,2.336914,47.84474
279823,47961841,88,36.82974,-2.6098633,0.13058472,-1,30.15701,0.36175537,66.41301
279823,48584377,88,198.41005,1.1442871,1.8811035,-1,46.91057,-0.50183105,141.47739
